description,part_numbers,times_billed,qty_total,sell_min,sell_max,sell_last,last_date,example
ADHESIVE KIT,GRD-60120101; GRD-60210101,2,3.0,48.3,48.3,48.3,2026-09-03,Adhesive Kit (GRD-60120101)
3/4 90,,2,5.0,39.79,39.79,39.79,2026-09-10,"3/4"" 90"
4 X 4 NIPPLE,,2,2.0,26.83,26.83,26.83,2026-07-20,"4"" x 4"" Nipple"
4 X 12 BLACK STEEL NIPPLE,,2,2.0,52.97,52.97,52.97,2026-07-21,"4"" x 12"" Black Steel Nipple"
3/4 X CLOSE NIPPLE,,2,4.0,2.2,2.2,2.2,2026-08-04,"3/4"" X Close Nipple"
CONDUIT CLEAR 45 VINAGER,,2,6.0,18.92,18.92,18.92,2026-08-04,Conduit clear - 45% vinager
SANDING DISC,,2,2.0,18.17,18.17,18.17,2026-08-11,Sanding Disc
PAINT ROLLER,,2,3.0,3.75,4.36,4.36,2026-09-02,Paint Roller
3/4 X 6 FITTING,,2,4.0,5.47,5.47,5.47,2026-09-03,"3/4"" x 6"" Fitting"
BRAVO EPOXY KIT,,1,2.0,54.99,54.99,54.99,2026-03-16,Bravo Epoxy Kit
2 X 3 NIPPLE,,1,1.0,6.11,6.11,6.11,2026-03-16,"2"" X 3"" Nipple"
2 X 90,,1,1.0,12.28,12.28,12.28,2026-03-16,"2"" X 90"
3 X CLOSE NIPPLE,,1,3.0,1.94,1.94,1.94,2026-03-16,"3"" X Close Nipple"
CHICO,,1,1.0,55.2,55.2,55.2,2026-03-16,Chico
REBAR TIES,,1,6.0,1.88,1.88,1.88,2026-03-16,Rebar Ties
ADVANTI 202,,1,27.0,59.59,59.59,59.59,2026-03-16,Advanti 202
FISH TAPE,,1,2.0,32.47,32.47,32.47,2026-03-17,Fish Tape
3/4 X 90,,1,2.0,30.09,30.09,30.09,2026-03-17,"3/4"" X 90"
4 LOCKING FILL CAP,GRD-OPW634TT-7085,1,1.0,27.04,27.04,27.04,2026-03-17,"4"" Locking Fill Cap (GRD-OPW634TT-7085)"
WHITE OPW LID,GRD-RTC-WHITE,1,2.0,95.5,95.5,95.5,2026-03-17,White OPW Lid (GRD-RTC-WHITE)
BLACK RING,GRD-RTR-BLACK,1,2.0,180.21,180.21,180.21,2026-03-17,Black Ring (GRD-RTR-BLACK)
6 OBSERVATION LID GRD OPW WTS OPC,,1,1.0,36.23,36.23,36.23,2026-03-17,"6"" Observation Lid (GRD-OPW-WTS-OPC"
REFURBISHED MULTIPORT LID,,1,1.0,1175.59,1175.59,1175.59,2026-03-17,Refurbished multiport lid
3/4 X 3 NIPPLE,,1,1.0,3.81,3.81,3.81,2026-03-18,"3/4"" X 3"" Nipple"
CAPPED 90,,1,1.0,38.88,38.88,38.88,2026-03-18,Capped 90
4 X 18 NIPPLE,,1,2.0,84.44,84.44,84.44,2026-03-19,"4"" X 18"" Nipple"
BLACK STEEL NIPPLE,,1,1.0,3.25,3.25,3.25,2026-03-19,Black steel nipple
